utterance,request,importance
i try to remove my account,1,0
"I have a problem when trying to make a payment, how do I report it ?",5,1
"I want to request a refund, what should I do?",11,1
"I don't have an account, open one",8,1
I'm not happy with ur service help me make an customer claim,9,0
"I have an issue when trying to  make a payment,  what do I have to do?",5,1
can i make changes to the information on my profile?,19,0
how do I retrieve my password?,12,2
"i want to modify my shipping address, what should i do?",24,0
i need help viewing your payment methods,21,0
"I have an issue making a payment, how can I report it?",5,1
I want inforation about your reimbursement policy,16,1
I ofdeed something and i want to modify my purchase,0,0
i want to see the email address of client service,10,0
"I have an issue when trying to pay for my online order, how do I inform of it?",5,1
"you aren't helping, what can I do to speak with a human agent?",14,1
"the concert was postponed, what do I ahve to do?",11,1
"I have no account, how can I create one?",8,1
can i inform of an issue paying?,5,0
"I ordered a product, help me change my order",0,2
how to take a quick look at the invoices?,15,2
"I haven't got a user account, what can I do to register?",8,1
"I want information, could you speak with Customer Support?",10,2
"I have a question , I need help sending an email to Client Service",10,1
what do I need to do to find the invoices from last month?,15,1
"I don't want my account, how can I remove it?",1,1
"I want to notify a problem paying, can you help me?",5,1
"ask an agent how I could see their reimbursement policy, please",16,2
how can I leave a comment?,23,2
I want assistance submitting some feedback for a service,23,2
"I want an account, what should I do?",8,1
"I want to view the fucking ticket delivery options, what do I have to do, please?",13,1
where do I write a review for a service?,23,2
problems with a shipping address change,24,2
"could you tell me how to nkow where my fucking package is, please?",3,1
help me solve an issue with payment,5,2
help contacting an agent,14,2
I don't know how to get a refund,11,1
I don't know how to get the invoices from my last purchase,2,1
"I want to make a consumer complaint for a service, what can I do?",9,1
"I want to delete my profile, how can I do it?",1,1
can you tell me if I can register several accounts with a single email address?,8,2
can I cancel a purchase?,27,2
how can i write a review for a service?,23,0
"I want information, how can I contact Customer Service?",10,1
"i wanna get a reimbursement, what can i do?",11,0
"I got an error message when I tried to pay, but my card was charged anyway, I need help informing of it",5,1
I want to ask for information about requesting some invoices,2,1
"I have a problem when trying to pay with card, what do I have to do to report it?",5,1
i want help to report registration errors,25,0
can I solve a problem paying?,5,2
"i wanna track my purchase, what can i do?",3,0
"ask an agent what the free phone number of client service is, please",10,2
can you tell me where to track my delivery?,3,2
what's the phone numner of Client Service?,10,2
how can i check your refund policy?,16,0
what's the free number of Customer Service?,10,2
how could i view your payment options?,21,0
how to talk to Customer Support,10,2
I do not know what I have to do to track my order,3,1
"I don't have an account, how do I create one?",8,1
"could u show me the number to contact Customer Service, please?",10,0
"i wanna check your refund policy, what should i do?",16,0
when can I expect a refund of money,11,1
"I made a mistake, what should I do to change my order?",0,1
"the game was postponed, what should I do to get a refund?",11,1
"I can't understand you, what should I do to contact someone?",14,1
"I changed my mind, how can I remove my online account?",1,1
how to check the cancellation fee,20,2
can you tell me if I can register more than one profile with the same email address?,8,1
"I want to see the status of my order, what do I have to do?",3,1
"I want to lodge a consumer complaint for a service, what should I do?",9,1
"I want to see your refund policy, can you help me?",16,1
i need help registering,8,0
"I got an error when I attempted to pay, but my card was charged anyway, what can I do to notify it?",5,1
"I made a mistake, can you ask an agent to chaneg my purchase?",0,1
"i want information, i need help speaking with customer support",10,0
can you show me information about the delivery period for my ticket?,7,2
what do I need to do to file a complaint?,9,1
"please, can u ask an agent where i could remove my account?",1,0
"I can't understand you, help me talk to someone",14,1
"i want to submit a comment for a service, what should i do?",23,0
"I have no online account, open one, please",8,2
I want assistance to check how long refunds take,16,1
what do I have to do to track my last order?,3,1
"can u ask an agent how  could see the status of my fucking purchase, please?",3,0
can u ask an agent how i can reset my password?,12,0
can you tell me if i can create two profiles with the same email?,8,0
i dont know how i can check the withdrawal penalties,20,0
"I'm not happy with the service, I need help lodgnig an consumer complaint",9,1
i wanna know if i can create two profiles with a single email address,8,0
"an error message pops when i try to pay for my order, can u help me?",5,0
"i want to check my deliveries, tell me how I can do it",3,0
could you show me the delivery options?,13,2
"i wanna view the status of my refund , what can i do?",22,0
"i have a problem paying for my order, i need help notifying it",5,0
will you tell me what hours customer service available is?,10,2
"I don't want my fucking account, can you cancel it, please?",1,1
I need help informing of a problem making a payment,5,2
how can I remove my online account?,1,2
"i dont understand you and id like to talk to a person, please",14,0
can u show me the number of client service?,10,0
tell me if there's a newsletter to stay informed,18,2
"I bought a prodjct, can I change my purchase?",0,1
an error message pops when I try to pay,5,1
i call to file a complaint against ur business,9,0
I don't want my profile,1,1
I have a registration issue,25,2
"I don't understand you, help me talk to someone",14,1
assistance cancelling the last order,27,2
how do I inform of a problem paying?,5,2
"please, can u ask an agent how i can set up my shipping address?",4,0
"I have a problem when trying to make a payment with card, can you notify it?",5,1
I need information about a forgotten password,12,2
can you tell me what the free phone number of Customer Service is?,10,2
"I want to get some invoices, tell me how to do it",2,1
can u ask an agent how i can report problems making a payment?,5,0
I cannot change my shipping address,24,2
I need help checking the delivery options,13,2
report an issue with payment,5,2
I want assistance to buy some of your item,26,2
"I haven't got a account, what do I have to do to create one?",8,1
I call to check what delivery options I have,13,2
how to see the status of my company newsletter subscription?,18,2
"I purchased a product, what do I have to do to change my order?",0,1
"I didn't receive my bills, show them",17,1
"I have an issue paying for my online order, I need help notifying it",5,1
"i wanna check my invoices , what can i do?",17,0
i wanna know if i can register more than one account with a single email,8,0
where to leave a comment,23,2
"I need a reimbursement, can I request one, please?",11,1
I have to check how long the delivery takes,7,1
contact Customer Service,10,2
what do I have to do to talk to an agent?,14,1
I want to  solve problems paying,5,2
can u ask an agent for information about the cancellation penalties?,20,0
can i make a payment with Amex?,21,0
how can I check my orders?,3,2
I changed my mind and I want to remove my profile,1,1
I want to remove my user account,1,2
