utterance|request|importance
i bought a product, could I modify my fucking purchase?|change_order|high_priority
I changed my mind, what can I do to remove my user account?|delete_account|standard_priority
I want to know where I cvan get a bill|get_invoice|medium_priority
tell me if my package is out for delivery|track_order|medium_priority
how to set a different shipping address up?|set_up_shipping_address|medium_priority
ask an agent where to notify fucking problems paying, please|payment_issue|medium_priority
please , ask an agent if i could notify an issue making a payment|payment_issue|high_priority
how to track an order?|track_order|medium_priority
would it be possible to set up another shipping address?|set_up_shipping_address|medium_priority
I want to know about user account deletions|delete_account|medium_priority
I wanna track my delivery, tell me where to do it|track_order|standard_priority
I want to know if I can request a invoice|get_invoice|standard_priority
help changing to a diffreent profile|switch_account|medium_priority
I got an error message when I attempted to make a payment, but I was charged anyway, help me report it|payment_issue|standard_priority
I do not know how to check how long the delivery takes|delivery_period|standard_priority
I have a problem when trying to pay, what should I do to inform of it?|payment_issue|standard_priority
can you tell me if I can register two profiles with the same email ?|create_account|medium_priority
i have got to make a reclamation against ur commpany|complaint|high_priority
I got an error message when I attempted to pay, but I was charged anyway, inform of it|payment_issue|standard_priority
I changed my mind, help me cancel my online account|delete_account|standard_priority
I want to check my package, can you tell me where to do it?|track_order|standard_priority
I want to check what hours customer service available is|contact_customer_service|medium_priority
what can you tell me about changing my order?|change_order|standard_priority
the concert was cancelled and I want to request a reimbursement|get_refund|standard_priority
ask an agent how i can retrieve my account password|recover_password|high_priority
I'm discontent with the service, what can I do to file a complaint?|complaint|standard_priority
will you show me what options for delivery you offer?|delivery_options|medium_priority
ive got no account, help me register|create_account|high_priority
find information about a user account deletion|delete_account|medium_priority
I have no online account|create_account|medium_priority
issue with payment|payment_issue|medium_priority
I don't have a user account, create one|create_account|medium_priority
I don't understand you, what should I do to talk to a human agent?|contact_human_agent|standard_priority
I madea mistake, help me chnage my order|change_order|standard_priority
I want information, call Customer Support|contact_customer_service|medium_priority
I forgot my account password, recover it|recover_password|medium_priority
I want to use my other account, what do I have to do to switch them?|switch_account|standard_priority
I would like to track an order|track_order|medium_priority
an error message popswhen I try to make a payment for my order, what should I do?|payment_issue|standard_priority
where do I check my packages?|track_order|medium_priority
I want to see a bill, can you tell me how I can do it?|get_invoice|standard_priority
would it be possible to find the invoices from last month?|check_invoice|standard_priority
could you help me to check your money back policy?|check_refund_policy|medium_priority
I have no account, what should I do to  create one?|create_account|standard_priority
help me check my package|track_order|medium_priority
